,logFC,logCPM,PValue,FDR,,,,,,,,,,,,,,,,,,,
GRMZM2G138152,0.975407608,5.501864134,2.66E-08,2.67E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G119916,1.093268113,4.133128574,2.71E-08,2.69E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G090733,4.011311662,0.916614652,2.71E-08,2.69E-06,,estradiol 17-beta-dehydrogenase 12,,,,in rice.,,,,,,,,,,,,,
GRMZM2G312091,2.739857118,1.720135264,2.72E-08,2.69E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G171468,2.2680806,2.653738119,2.78E-08,2.74E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G031568,1.46336437,9.007834176,2.79E-08,2.74E-06,,,,,,,,,,,,,,,,,,,
GRMZM5G829840,1.16924663,8.084347102,2.81E-08,2.74E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G410352,2.233438866,2.57722645,2.85E-08,2.77E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G046900,1.802951661,3.738179345,2.92E-08,2.83E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G054663,2.263127984,2.877160302,3.14E-08,3.03E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G338809,-3.383463916,2.135424829,3.16E-08,3.04E-06,,Ammonium transporter protein.,,,,,,,,,,,,,,,,,
GRMZM2G140299,-1.367334685,3.106385431,3.23E-08,3.09E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G444692,1.026565775,6.293920594,3.26E-08,3.11E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G035790,1.962458403,5.371716169,3.43E-08,3.26E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G054811,0.94329087,6.069619159,3.46E-08,3.27E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G031983,-1.608455834,3.72440471,3.51E-08,3.31E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G085381,3.655303242,5.59669042,3.64E-08,3.41E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G064406,2.874421264,5.916101365,3.80E-08,3.55E-06,,,,,,,,,,,,,,,,,,,
GRMZM2G416667,-1.309745184,5.638885085,3.88E-08,3.61E-06,,,,,,,,,,,,,,,,,,,
