,logFC,logCPM,PValue,FDR,,,,,,,,,,,,,,,,,,,
GRMZM5G812926,0.341699141,2.153798786,0.38452447,0.665899039,,,,,,,,,,,,,,,,,,,
GRMZM2G147454,-0.236425685,4.066174137,0.384535103,0.665899039,,,,,,,,,,,,,,,,,,,
GRMZM2G030744,0.263497719,3.228345409,0.384549152,0.665899039,,,,,,,,,,,,,,,,,,,
GRMZM2G073979,-0.147479634,6.46423588,0.384553868,0.665899039,,,,,,,,,,,,,,,,,,,
GRMZM2G046163,0.549031934,3.905276489,0.384556239,0.665899039,,,,,,,,,,,,,,,,,,,
GRMZM5G824336,0.164197855,6.237256325,0.384572828,0.665899039,,,,,,,,,,,,,,,,,,,
GRMZM2G391795,0.552444167,1.612096883,0.38460336,0.665899039,,,,,,,,,,,,,,,,,,,
GRMZM2G111886,-0.206599276,4.897772568,0.384617578,0.665899039,,,,,,,,,,,,,,,,,,,
GRMZM2G165817,0.133607535,5.290906461,0.38461948,0.665899039,,,,,,,,,,,,,,,,,,,
GRMZM2G086750,0.145929199,6.477297454,0.38476845,0.66610548,,,,,,,,,,,,,,,,,,,
GRMZM2G016480,-0.265844216,2.595032973,0.384843053,0.666134521,,,,,,,,,,,,,,,,,,,
GRMZM2G018414,0.253428579,2.822112536,0.384844688,0.666134521,,,,,,,,,,,,,,,,,,,
GRMZM2G027726,-0.317706369,2.280260379,0.385220799,0.666734029,,,,,,,,,,,,,,,,,,,
GRMZM2G157034,-0.156461047,5.323982974,0.38536535,0.666905596,,,,,,,,,,,,,,,,,,,
GRMZM2G479245,0.31086648,1.628077869,0.385379458,0.666905596,,,,,,,,,,,,,,,,,,,
GRMZM2G012031,-0.210496426,4.990798691,0.385467103,0.66700575,,,,,,,,,,,,,,,,,,,
AC216826.3_FG005,0.915754491,0.76669761,0.385504903,0.667008244,,,,,,,,,,,,,,,,,,,
GRMZM2G176407,0.213030573,3.710294529,0.385554365,0.667008244,,,,,,,,,,,,,,,,,,,
AC166636.1_FG008,0.527857769,0.616497902,0.385557856,0.667008244,,,,,,,,,,,,,,,,,,,
GRMZM2G022686,0.47197687,1.189225497,0.385644461,0.667106558,,,,,,,,,,,,,,,,,,,
GRMZM2G166109,0.241051808,2.520368277,0.385687406,0.667129339,,,,,,,,,,,,,,,,,,,
GRMZM2G021912,0.266788049,3.642614124,0.385760931,0.667205006,,,,,,,,,,,,,,,,,,,
GRMZM2G396767,-0.522505283,0.763870644,0.385814097,0.667245453,,,,,,,,,,,,,,,,,,,
GRMZM5G856011,-1.137633698,0.637253124,0.386009962,0.667532663,,,,,,,,,,,,,,,,,,,
GRMZM2G152757,0.155153615,6.162321136,0.386314363,0.667923665,,,,,,,,,,,,,,,,,,,
GRMZM2G425736,0.487197177,2.09144458,0.386347325,0.667923665,,,,,,,,,,,,,,,,,,,
GRMZM2G155384,0.133891352,6.003734097,0.386353965,0.667923665,,,,,,,,,,,,,,,,,,,
GRMZM5G823975,0.341844386,1.439013796,0.386363951,0.667923665,,,,,,,,,,,,,,,,,,,
GRMZM6G953609,-0.424627483,1.786705054,0.38638512,0.667923665,,,,,,,,,,,,,,,,,,,
GRMZM2G161326,0.484478462,1.28220849,0.386445189,0.667944629,,,,,,,,,,,,,,,,,,,
GRMZM2G105198,0.569664707,4.805618232,0.386456872,0.667944629,,,,,,,,,,,,,,,,,,,
GRMZM2G152194,0.207332258,4.38613309,0.386579934,0.668105788,,,,,,,,,,,,,,,,,,,
GRMZM2G174236,0.294920059,2.388316159,0.386668565,0.668207419,,,,,,,,,,,,,,,,,,,
GRMZM2G410757,0.244070119,7.391978543,0.38673858,0.668276869,,,,,,,,,,,,,,,,,,,
GRMZM2G353895,0.303834671,1.835550596,0.386827526,0.668335502,,,,,,,,,,,,,,,,,,,
GRMZM2G328612,0.238558989,3.032891856,0.386832171,0.668335502,,,,,,,,,,,,,,,,,,,
GRMZM2G101480,-0.169789887,7.561817262,0.386920028,0.66837718,,,,,,,,,,,,,,,,,,,
GRMZM2G175288,-0.638728264,1.973751186,0.386996373,0.66837718,,,,,,,,,,,,,,,,,,,
GRMZM2G170281,-0.525460367,1.051781137,0.387055527,0.66837718,,,,,,,,,,,,,,,,,,,
GRMZM2G057643,0.552563071,0.87090848,0.387081253,0.66837718,,,,,,,,,,,,,,,,,,,
GRMZM2G095576,-0.59179462,0.678274422,0.387095563,0.66837718,,,,,,,,,,,,,,,,,,,
GRMZM2G135108,0.500420189,1.725506461,0.387121749,0.66837718,,,,,,,,,,,,,,,,,,,
GRMZM2G054678,0.698639537,3.874184816,0.387130041,0.66837718,,,,,,,,,,,,,,,,,,,
GRMZM2G005256,-0.202007677,4.372893414,0.387150439,0.66837718,,,,,,,,,,,,,,,,,,,
GRMZM2G056462,-0.166362335,5.237637576,0.387159779,0.66837718,,,,,,,,,,,,,,,,,,,
GRMZM2G167520,0.573022984,1.757642717,0.38716532,0.66837718,,,,,,,,,,,,,,,,,,,
GRMZM2G113401,-0.207143202,3.169379784,0.387184442,0.66837718,,,,,,,,,,,,,,,,,,,
GRMZM2G011893,-0.163719086,4.769683163,0.387256525,0.668450111,,,,,,,,,,,,,,,,,,,
GRMZM2G361662,-0.218534602,3.691224878,0.387363503,0.668551026,,,,,,,,,,,,,,,,,,,
GRMZM2G461278,0.382930255,3.115398499,0.387374667,0.668551026,,,,,,,,,,,,,,,,,,,
GRMZM5G824137,-0.481772685,0.764640183,0.387484121,0.668688417,,,,,,,,,,,,,,,,,,,
GRMZM2G094738,-0.222124128,4.160310377,0.387514221,0.668688858,,,,,,,,,,,,,,,,,,,
GRMZM2G148702,-0.82209463,0.971045008,0.387554914,0.668707574,,,,,,,,,,,,,,,,,,,
GRMZM2G116086,0.120972827,7.341377561,0.38767641,0.668865698,,,,,,,,,,,,,,,,,,,
GRMZM2G350436,0.492071664,1.116027986,0.387822614,0.669066425,,,,,,,,,,,,,,,,,,,
GRMZM2G177110,0.459495533,3.356896314,0.38791031,0.669166192,,,,,,,,,,,,,,,,,,,
GRMZM2G151519,-0.341150383,5.462084883,0.387999939,0.669269277,,,,,,,,,,,,,,,,,,,
GRMZM2G368410,0.215793604,4.180678282,0.388043749,0.669293318,,,,,,,,,,,,,,,,,,,
GRMZM5G838420,-0.305954864,1.985360222,0.388171695,0.669430621,,,,,,,,,,,,,,,,,,,
GRMZM2G172581,-0.234360058,2.481061146,0.388191091,0.669430621,,,,,,,,,,,,,,,,,,,
GRMZM2G053019,0.161774784,6.384022056,0.388212991,0.669430621,,,,,,,,,,,,,,,,,,,
GRMZM2G123008,0.542686175,0.556068088,0.388278505,0.669492066,,,,,,,,,,,,,,,,,,,
GRMZM2G180821,1.098997838,1.243955373,0.388345207,0.669555548,,,,,,,,,,,,,,,,,,,
GRMZM2G031004,0.693726948,1.055782767,0.388421372,0.669635337,,,,,,,,,,,,,,,,,,,
GRMZM2G480620,-0.179810705,3.874078051,0.388477631,0.669644314,,,,,,,,,,,,,,,,,,,
GRMZM2G107463,0.147844898,4.786993952,0.388486356,0.669644314,,,,,,,,,,,,,,,,,,,
GRMZM2G151516,0.310645218,2.256600964,0.38855662,0.669713907,,,,,,,,,,,,,,,,,,,
GRMZM5G876518,1.049328213,1.247400441,0.388700131,0.669873087,,,,,,,,,,,,,,,,,,,
GRMZM2G136538,-0.505616196,0.793687722,0.388708771,0.669873087,,,,,,,,,,,,,,,,,,,
GRMZM2G092945,-0.664449226,1.516567199,0.388813776,0.670002511,,,,,,,,,,,,,,,,,,,
GRMZM2G114895,-0.330053268,2.074840776,0.38891717,0.670129138,,,,,,,,,,,,,,,,,,,
GRMZM2G084788,0.365949787,2.734803436,0.388953207,0.670139696,,,,,,,,,,,,,,,,,,,
GRMZM2G032478,-0.18318146,4.994291849,0.389019788,0.67018274,,,,,,,,,,,,,,,,,,,
GRMZM5G879278,0.235216362,5.812660633,0.389038015,0.67018274,,,,,,,,,,,,,,,,,,,
GRMZM2G103972,0.8428538,3.923563522,0.38918302,0.670206639,,,,,,,,,,,,,,,,,,,
GRMZM2G048806,-0.139729127,7.344647827,0.389185765,0.670206639,,,,,,,,,,,,,,,,,,,
GRMZM2G051790,-0.181711092,4.385867008,0.389194531,0.670206639,,,,,,,,,,,,,,,,,,,
GRMZM2G428233,-0.473644648,1.22323986,0.389233326,0.670206639,,,,,,,,,,,,,,,,,,,
GRMZM2G057258,0.246251392,3.990621634,0.38926156,0.670206639,,,,,,,,,,,,,,,,,,,
GRMZM2G128176,-0.134677747,5.470092243,0.389296248,0.670206639,,,,,,,,,,,,,,,,,,,
GRMZM2G100801,0.154707444,4.073500217,0.389328081,0.670206639,,,,,,,,,,,,,,,,,,,
GRMZM5G842019,-0.356216644,2.099029966,0.389348424,0.670206639,,,,,,,,,,,,,,,,,,,
GRMZM2G470862,-0.317602658,2.671590779,0.389368827,0.670206639,,,,,,,,,,,,,,,,,,,
GRMZM2G430745,-0.148092622,5.559897078,0.38939137,0.670206639,,,,,,,,,,,,,,,,,,,
GRMZM2G048644,-0.31518882,2.598497056,0.389400103,0.670206639,,,,,,,,,,,,,,,,,,,
GRMZM2G074454,-0.463634429,1.189001203,0.389410847,0.670206639,,,,,,,,,,,,,,,,,,,
GRMZM2G041310,0.558554944,0.513374892,0.389461922,0.670236774,,,,,,,,,,,,,,,,,,,
GRMZM5G878153,-0.196898694,3.85679222,0.389488186,0.670236774,,,,,,,,,,,,,,,,,,,
GRMZM2G401485,0.430254321,3.562857766,0.389522157,0.670243754,,,,,,,,,,,,,,,,,,,
GRMZM2G389768,0.169572196,6.588644947,0.389712953,0.670368335,,,,,,,,,,,,,,,,,,,
GRMZM2G091283,-0.661562268,1.018602823,0.389723375,0.670368335,,,,,,,,,,,,,,,,,,,
GRMZM2G160862,0.710732963,1.297004591,0.389730043,0.670368335,,,,,,,,,,,,,,,,,,,
GRMZM2G370928,0.521486573,0.910087203,0.389732127,0.670368335,,,,,,,,,,,,,,,,,,,
GRMZM2G122357,0.358422915,2.058381379,0.389783496,0.670368335,,,,,,,,,,,,,,,,,,,
GRMZM2G106245,-0.191827986,4.820276383,0.389801265,0.670368335,,,,,,,,,,,,,,,,,,,
GRMZM2G035314,0.270022734,2.99903532,0.389804002,0.670368335,,,,,,,,,,,,,,,,,,,
GRMZM2G100889,-0.432479633,1.469555845,0.389843357,0.670384559,,,,,,,,,,,,,,,,,,,
GRMZM2G323261,0.30075306,1.891237458,0.389941547,0.670501946,,,,,,,,,,,,,,,,,,,
GRMZM2G084729,-0.203849658,3.350555224,0.390011661,0.670543967,,,,,,,,,,,,,,,,,,,
GRMZM2G158097,-0.155890858,8.30243363,0.390025841,0.670543967,,,,,,,,,,,,,,,,,,,
GRMZM2G049329,-0.178697585,7.372777966,0.390157699,0.670719194,,,,,,,,,,,,,,,,,,,
GRMZM2G160697,0.244693784,2.552112756,0.390201236,0.670727414,,,,,,,,,,,,,,,,,,,
GRMZM2G124473,0.17490759,8.492549027,0.390222354,0.670727414,,,,,,,,,,,,,,,,,,,
GRMZM5G824843,-0.332508667,1.988127191,0.390266288,0.67073622,,,,,,,,,,,,,,,,,,,
GRMZM2G030955,0.205185098,4.072183306,0.390287351,0.67073622,,,,,,,,,,,,,,,,,,,
GRMZM2G075563,-0.541582099,1.163124394,0.390348541,0.670775532,,,,,,,,,,,,,,,,,,,
GRMZM2G106235,0.293254861,3.009387698,0.390370103,0.670775532,,,,,,,,,,,,,,,,,,,
GRMZM2G011314,0.207648286,3.664200173,0.390461839,0.67088171,,,,,,,,,,,,,,,,,,,
GRMZM5G898314,0.344240104,2.448441789,0.390641583,0.671139074,,,,,,,,,,,,,,,,,,,
GRMZM2G179906,-0.177249416,4.392519835,0.390809786,0.671324734,,,,,,,,,,,,,,,,,,,
GRMZM5G821267,-0.277212477,3.246723769,0.390834123,0.671324734,,,,,,,,,,,,,,,,,,,
GRMZM2G122943,0.132633088,8.905597446,0.390859648,0.671324734,,,,,,,,,,,,,,,,,,,
GRMZM2G068255,-0.200758645,5.784626898,0.3908695,0.671324734,,,,,,,,,,,,,,,,,,,
GRMZM2G004397,-0.154203562,5.764553595,0.390930772,0.671344399,,,,,,,,,,,,,,,,,,,
GRMZM2G106680,0.262869527,2.83300959,0.390942379,0.671344399,,,,,,,,,,,,,,,,,,,
GRMZM2G150884,0.331553576,1.343019463,0.390970842,0.671344399,,,,,,,,,,,,,,,,,,,
AC192244.3_FG007,0.23299549,4.962886651,0.391108251,0.671464796,,,,,,,,,,,,,,,,,,,
GRMZM2G077588,0.946821561,1.0534807,0.391154214,0.671464796,,,,,,,,,,,,,,,,,,,
GRMZM2G381395,-0.191112213,3.851407613,0.391159208,0.671464796,,,,,,,,,,,,,,,,,,,
GRMZM2G340749,-0.164909228,4.329729891,0.391222943,0.671464796,,,,,,,,,,,,,,,,,,,
GRMZM2G543629,0.134801344,9.261999133,0.391246039,0.671464796,,,,,,,,,,,,,,,,,,,
GRMZM2G049912,0.317794954,2.005147816,0.391258485,0.671464796,,,,,,,,,,,,,,,,,,,
GRMZM2G083755,0.261680529,4.914758913,0.391280178,0.671464796,,,,,,,,,,,,,,,,,,,
GRMZM2G180983,-0.197499087,4.205531586,0.391280713,0.671464796,,,,,,,,,,,,,,,,,,,
GRMZM2G359333,0.149354091,6.383389027,0.391398677,0.671615789,,,,,,,,,,,,,,,,,,,
GRMZM2G078412,0.149680438,7.585733936,0.391471457,0.671662303,,,,,,,,,,,,,,,,,,,
GRMZM2G054267,-0.253666855,6.522523437,0.391544281,0.671662303,,,,,,,,,,,,,,,,,,,
GRMZM5G851655,-0.51437467,0.618696092,0.391564627,0.671662303,,,,,,,,,,,,,,,,,,,
GRMZM2G074401,0.176765806,9.000095665,0.391590487,0.671662303,,,,,,,,,,,,,,,,,,,
GRMZM2G122846,0.843748416,0.190116952,0.391607154,0.671662303,,,,,,,,,,,,,,,,,,,
GRMZM2G121495,-0.571794819,1.26990506,0.391665214,0.671662303,,,,,,,,,,,,,,,,,,,
GRMZM2G529179,0.878107541,1.380165957,0.391670002,0.671662303,,,,,,,,,,,,,,,,,,,
GRMZM2G055154,0.336718915,2.535903021,0.391707639,0.671662303,,,,,,,,,,,,,,,,,,,
GRMZM2G125259,-0.398427816,1.195142928,0.391721065,0.671662303,,,,,,,,,,,,,,,,,,,
GRMZM2G082962,-0.171331981,4.482720455,0.391746194,0.671662303,,,,,,,,,,,,,,,,,,,
GRMZM2G063503,0.330857838,2.538655467,0.391778952,0.671662303,,,,,,,,,,,,,,,,,,,
GRMZM2G012690,0.144140038,6.174477615,0.391785523,0.671662303,,,,,,,,,,,,,,,,,,,
GRMZM2G157306,0.332934331,2.125238069,0.391957881,0.67186487,,,,,,,,,,,,,,,,,,,
GRMZM2G068936,-0.336829594,1.729223641,0.391963656,0.67186487,,,,,,,,,,,,,,,,,,,
GRMZM2G011078,-0.262962518,4.589241616,0.392056527,0.67194694,,,,,,,,,,,,,,,,,,,
GRMZM2G061439,-0.955204466,2.016635182,0.392071517,0.67194694,,,,,,,,,,,,,,,,,,,
GRMZM2G386088,-0.60443247,0.906751089,0.392228487,0.672164543,,,,,,,,,,,,,,,,,,,
GRMZM2G158502,0.37432981,2.179918814,0.392379995,0.672277785,,,,,,,,,,,,,,,,,,,
GRMZM2G050946,-0.719868041,1.153451075,0.392380569,0.672277785,,,,,,,,,,,,,,,,,,,
GRMZM2G403719,0.768945013,3.809383395,0.392411775,0.672277785,,,,,,,,,,,,,,,,,,,
AC152495.1_FG017,0.901510857,3.332299787,0.392419418,0.672277785,,,,,,,,,,,,,,,,,,,
GRMZM2G485313,0.349556769,3.019423401,0.392473462,0.672277785,,,,,,,,,,,,,,,,,,,
GRMZM2G339848,-0.158471602,5.271868211,0.3924746,0.672277785,,,,,,,,,,,,,,,,,,,
GRMZM2G370815,-0.313338955,1.724898615,0.392542064,0.672341941,,,,,,,,,,,,,,,,,,,
GRMZM2G126986,0.715445063,1.126582272,0.392574628,0.672346319,,,,,,,,,,,,,,,,,,,
GRMZM2G024335,-0.215522681,4.170250244,0.392614542,0.672363281,,,,,,,,,,,,,,,,,,,
GRMZM2G081172,0.241790163,4.173252209,0.392710061,0.67247546,,,,,,,,,,,,,,,,,,,
GRMZM2G152419,-0.197131651,5.302481722,0.393081675,0.67306037,,,,,,,,,,,,,,,,,,,
GRMZM2G167999,-0.132335838,5.593338997,0.393206755,0.67319095,,,,,,,,,,,,,,,,,,,
GRMZM2G160563,0.287603099,3.49103934,0.393237585,0.67319095,,,,,,,,,,,,,,,,,,,
GRMZM5G846875,-0.695955752,1.877558965,0.393248076,0.67319095,,,,,,,,,,,,,,,,,,,
GRMZM5G833124,-0.149396468,9.512038458,0.393299568,0.673227659,,,,,,,,,,,,,,,,,,,
GRMZM5G895313,0.220208228,3.810943775,0.393358469,0.673277044,,,,,,,,,,,,,,,,,,,
GRMZM2G060185,0.196649185,3.417341595,0.393402217,0.673300487,,,,,,,,,,,,,,,,,,,
GRMZM2G054458,0.244103693,4.47725771,0.393471735,0.673330411,,,,,,,,,,,,,,,,,,,
GRMZM2G319686,-0.459504511,1.774371193,0.393479807,0.673330411,,,,,,,,,,,,,,,,,,,
GRMZM2G362341,-0.558013454,1.009817515,0.393619989,0.673506448,,,,,,,,,,,,,,,,,,,
GRMZM2G329909,0.297686995,3.140414862,0.3936428,0.673506448,,,,,,,,,,,,,,,,,,,
GRMZM2G166537,0.177879019,4.159316844,0.39372195,0.673590432,,,,,,,,,,,,,,,,,,,
GRMZM2G141693,-0.386286876,1.346031324,0.393912322,0.673765961,,,,,,,,,,,,,,,,,,,
GRMZM2G167262,0.420408968,1.38930817,0.394016154,0.673765961,,,,,,,,,,,,,,,,,,,
GRMZM2G103579,-0.20178054,4.041507356,0.394022893,0.673765961,,,,,,,,,,,,,,,,,,,
GRMZM2G153823,-0.412168729,1.712787351,0.394036045,0.673765961,,,,,,,,,,,,,,,,,,,
GRMZM5G813892,0.17527047,4.791195878,0.394045846,0.673765961,,,,,,,,,,,,,,,,,,,
AC202439.3_FG001,-0.289775223,2.920896874,0.39405003,0.673765961,,,,,,,,,,,,,,,,,,,
GRMZM2G180418,-0.174972011,7.231570889,0.394067637,0.673765961,,,,,,,,,,,,,,,,,,,
GRMZM2G018484,0.167479306,6.089260109,0.394096484,0.673765961,,,,,,,,,,,,,,,,,,,
GRMZM2G504018,-1.252817428,0.815386168,0.394117085,0.673765961,,,,,,,,,,,,,,,,,,,
GRMZM2G176499,0.16474652,3.882519494,0.394135379,0.673765961,,,,,,,,,,,,,,,,,,,
GRMZM2G037585,0.148675064,4.549542021,0.394155342,0.673765961,,,,,,,,,,,,,,,,,,,
GRMZM2G120484,0.238116251,2.598542553,0.394278675,0.673925367,,,,,,,,,,,,,,,,,,,
GRMZM2G077215,-0.210163607,5.590260783,0.394310899,0.673929032,,,,,,,,,,,,,,,,,,,
GRMZM2G029307,0.175459516,4.783285252,0.394384423,0.674003279,,,,,,,,,,,,,,,,,,,
GRMZM2G139066,-0.272106246,2.660726158,0.394544348,0.674187271,,,,,,,,,,,,,,,,,,,
GRMZM5G801875,0.17017841,7.066590334,0.394556663,0.674187271,,,,,,,,,,,,,,,,,,,
AC215256.3_FG003,0.468127405,1.320836422,0.394582356,0.674187271,,,,,,,,,,,,,,,,,,,
GRMZM2G303993,0.462365158,3.408058142,0.394656045,0.674261757,,,,,,,,,,,,,,,,,,,
GRMZM2G014499,-0.49430168,1.93901827,0.394795601,0.674448756,,,,,,,,,,,,,,,,,,,
GRMZM5G804816,0.160795709,4.184184438,0.394841098,0.674475053,,,,,,,,,,,,,,,,,,,
GRMZM2G442128,-0.325792036,1.434884863,0.394881124,0.674481033,,,,,,,,,,,,,,,,,,,
GRMZM2G061492,-0.713645945,2.095153948,0.394924928,0.674481033,,,,,,,,,,,,,,,,,,,
GRMZM2G082376,-0.238324325,5.231465366,0.394934911,0.674481033,,,,,,,,,,,,,,,,,,,
GRMZM2G133621,0.156187814,5.41397034,0.395013782,0.674519326,,,,,,,,,,,,,,,,,,,
GRMZM2G412760,-0.499388938,2.364458984,0.395017544,0.674519326,,,,,,,,,,,,,,,,,,,
GRMZM2G156310,-0.62757731,1.175615345,0.395143088,0.674659568,,,,,,,,,,,,,,,,,,,
GRMZM5G857303,-0.408199925,1.924472287,0.395159898,0.674659568,,,,,,,,,,,,,,,,,,,
GRMZM2G165679,0.187466972,5.530533619,0.395215209,0.674702588,,,,,,,,,,,,,,,,,,,
GRMZM2G087893,0.99911147,0.822391079,0.395253633,0.674716773,,,,,,,,,,,,,,,,,,,
GRMZM2G142068,-0.32695356,3.381974249,0.395333713,0.674802061,,,,,,,,,,,,,,,,,,,
GRMZM2G153332,-0.172248642,3.255767419,0.39538596,0.674839829,,,,,,,,,,,,,,,,,,,
GRMZM2G097662,-0.283356793,5.616716251,0.39544974,0.674897274,,,,,,,,,,,,,,,,,,,
GRMZM2G144821,-0.525197697,2.334484573,0.395483052,0.674902718,,,,,,,,,,,,,,,,,,,
GRMZM2G132591,0.475307995,2.782018516,0.395517858,0.674905684,,,,,,,,,,,,,,,,,,,
GRMZM2G181453,-0.171084743,3.755201349,0.395545037,0.674905684,,,,,,,,,,,,,,,,,,,
GRMZM5G802115,0.463579683,0.907009745,0.395727345,0.675165333,,,,,,,,,,,,,,,,,,,
GRMZM2G176455,-0.203880097,4.144820277,0.395776983,0.675198607,,,,,,,,,,,,,,,,,,,
GRMZM2G342738,0.257451021,3.667952093,0.395818539,0.67520258,,,,,,,,,,,,,,,,,,,
GRMZM2G057075,-0.191870383,5.967817346,0.395839585,0.67520258,,,,,,,,,,,,,,,,,,,
GRMZM2G154641,0.182730247,3.905733591,0.395921649,0.675291149,,,,,,,,,,,,,,,,,,,
AF546187.1_FG005,0.781956977,1.443352703,0.39599251,0.675323205,,,,,,,,,,,,,,,,,,,
GRMZM2G392116,-0.335221484,2.000834704,0.396002574,0.675323205,,,,,,,,,,,,,,,,,,,
GRMZM2G447071,1.003503383,0.270437891,0.396068488,0.675323205,,,,,,,,,,,,,,,,,,,
GRMZM2G047250,0.471225127,2.193368408,0.396073239,0.675323205,,,,,,,,,,,,,,,,,,,
GRMZM2G428356,0.171496848,4.459379701,0.396104459,0.675323205,,,,,,,,,,,,,,,,,,,
GRMZM2G464885,-0.321006493,1.817217811,0.396121292,0.675323205,,,,,,,,,,,,,,,,,,,
GRMZM2G169654,-0.270275265,3.586830085,0.396299307,0.675575286,,,,,,,,,,,,,,,,,,,
GRMZM2G093404,0.618559483,0.668399286,0.396336087,0.675586582,,,,,,,,,,,,,,,,,,,
GRMZM6G820695,0.3664441,1.845390328,0.396382584,0.675614439,,,,,,,,,,,,,,,,,,,
GRMZM2G142863,-0.15074063,5.420215754,0.396616634,0.675961942,,,,,,,,,,,,,,,,,,,
GRMZM2G179336,-0.262063537,3.289481168,0.39671806,0.67603958,,,,,,,,,,,,,,,,,,,
GRMZM2G096416,-0.50381855,1.815075594,0.396722535,0.67603958,,,,,,,,,,,,,,,,,,,
GRMZM2G167809,0.126642282,6.88644587,0.396800722,0.676121392,,,,,,,,,,,,,,,,,,,
GRMZM2G701221,0.371703233,1.917264759,0.396964356,0.676348775,,,,,,,,,,,,,,,,,,,
GRMZM2G021422,-0.335103352,1.675271228,0.397094118,0.676518418,,,,,,,,,,,,,,,,,,,
GRMZM5G833153,-0.231327908,4.387588359,0.39714527,0.676554119,,,,,,,,,,,,,,,,,,,
GRMZM2G010491,-0.219474084,8.671811029,0.397207644,0.676608931,,,,,,,,,,,,,,,,,,,
GRMZM2G085747,0.175112011,6.116322175,0.397313263,0.676737392,,,,,,,,,,,,,,,,,,,
GRMZM2G166897,0.236005685,3.091092909,0.397411307,0.676837524,,,,,,,,,,,,,,,,,,,
GRMZM2G473389,0.538940118,0.70475907,0.397432469,0.676837524,,,,,,,,,,,,,,,,,,,
GRMZM2G121128,0.174346011,8.217677582,0.397502317,0.676880906,,,,,,,,,,,,,,,,,,,
GRMZM2G031523,-0.183084366,4.140005463,0.397518365,0.676880906,,,,,,,,,,,,,,,,,,,
GRMZM2G528283,0.416067391,1.998875602,0.397593143,0.676956788,,,,,,,,,,,,,,,,,,,
GRMZM2G080560,0.286101744,2.66184448,0.397638584,0.676961103,,,,,,,,,,,,,,,,,,,
GRMZM2G347717,0.374527972,1.870939736,0.397666564,0.676961103,,,,,,,,,,,,,,,,,,,
GRMZM2G004696,-0.166332701,7.285071467,0.397686322,0.676961103,,,,,,,,,,,,,,,,,,,
GRMZM5G882986,0.244644754,3.530475964,0.397748603,0.677015684,,,,,,,,,,,,,,,,,,,
GRMZM2G159542,0.293509098,2.439534784,0.39783462,0.677110655,,,,,,,,,,,,,,,,,,,
GRMZM2G156673,0.160524224,5.675834667,0.397866784,0.677113961,,,,,,,,,,,,,,,,,,,
GRMZM2G177324,-0.163879779,5.135502113,0.397965797,0.677219157,,,,,,,,,,,,,,,,,,,
GRMZM2G164569,0.543777516,0.771495208,0.397989049,0.677219157,,,,,,,,,,,,,,,,,,,
GRMZM2G115960,0.160718784,5.939131336,0.398041105,0.6772563,,,,,,,,,,,,,,,,,,,
GRMZM2G079323,-0.313245108,3.993330776,0.398133924,0.677362789,,,,,,,,,,,,,,,,,,,
GRMZM2G051174,-0.169989582,3.785219647,0.398185007,0.67739826,,,,,,,,,,,,,,,,,,,
GRMZM2G414141,0.42734464,3.154013348,0.398295489,0.677534768,,,,,,,,,,,,,,,,,,,
GRMZM2G060795,-0.412240589,1.04575265,0.39833329,0.677547629,,,,,,,,,,,,,,,,,,,
GRMZM5G881605,-0.140685504,5.899828175,0.398509864,0.677796516,,,,,,,,,,,,,,,,,,,
GRMZM2G063942,0.142604425,5.942779828,0.398635117,0.677932121,,,,,,,,,,,,,,,,,,,
GRMZM2G037624,-0.216162922,3.628337184,0.398650932,0.677932121,,,,,,,,,,,,,,,,,,,
GRMZM2G081676,-0.270530406,4.02705233,0.398680367,0.677932121,,,,,,,,,,,,,,,,,,,
GRMZM2G047867,-0.189635018,6.550401437,0.398798014,0.678080709,,,,,,,,,,,,,,,,,,,
GRMZM2G104769,0.182166799,3.860353744,0.398910344,0.678172581,,,,,,,,,,,,,,,,,,,
GRMZM2G171723,-0.209364216,4.147406576,0.398912584,0.678172581,,,,,,,,,,,,,,,,,,,
GRMZM2G148056,-0.56020062,0.572745221,0.398942969,0.678172779,,,,,,,,,,,,,,,,,,,
GRMZM2G114613,0.369105321,5.248153629,0.399025643,0.678255018,,,,,,,,,,,,,,,,,,,
GRMZM2G011878,-0.372972155,1.919774499,0.399052713,0.678255018,,,,,,,,,,,,,,,,,,,
GRMZM2G066165,-0.460276677,0.979569239,0.399087267,0.678255018,,,,,,,,,,,,,,,,,,,
GRMZM2G176056,0.523940288,1.154126949,0.399117435,0.678255018,,,,,,,,,,,,,,,,,,,
GRMZM2G023884,-0.324685131,2.147018931,0.399142709,0.678255018,,,,,,,,,,,,,,,,,,,
GRMZM2G180605,-0.371329757,2.421922046,0.399195742,0.67829369,,,,,,,,,,,,,,,,,,,
GRMZM5G886833,-0.462906251,0.978381017,0.399295946,0.678412503,,,,,,,,,,,,,,,,,,,
GRMZM2G157705,0.179020773,3.614124513,0.399400397,0.678538511,,,,,,,,,,,,,,,,,,,
GRMZM2G180166,-0.440361456,1.58456608,0.399453394,0.678577095,,,,,,,,,,,,,,,,,,,
GRMZM2G133475,0.605050659,1.437942222,0.399521377,0.678641126,,,,,,,,,,,,,,,,,,,
GRMZM2G146207,-0.268451807,2.940824648,0.399653751,0.678801125,,,,,,,,,,,,,,,,,,,
GRMZM2G304442,0.532998794,0.396214767,0.399697534,0.678801125,,,,,,,,,,,,,,,,,,,
